,zor_sec,tembil,meslek,tas
zor_sec,0.35563711650667845,0.019979296066252525,0.5708356860530809,0.053547901373988134
tembil,0.3081399460725763,0.018443619325465153,0.6205808248242983,0.052835609777660386
meslek,0.3406074217959835,0.015481465744001015,0.5915305936627203,0.05238051879729496
tas,0.34109679266896975,0.014997136311569388,0.5942611683848658,0.04964490263459502
