3286966388: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002976552054484607], ['152118513 SİSTEM PROGRAMLAMA', -0.00044224680100615857], ['152118514 AĞ GÜVENLİĞİ', -0.0006433103813886307], ['152118035 NETWORK APPLICATIONS UE', -0.0014157796393417272], ['152117111 MOBİL PROGRAMLAMA', -0.0015718477402252152]]
362191843: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00039870238072607563], ['152118513 SİSTEM PROGRAMLAMA', -0.0006254562149887393], ['152118514 AĞ GÜVENLİĞİ', -0.0009375772205640415], ['152118035 NETWORK APPLICATIONS UE', -0.0017873681818381458], ['152117111 MOBİL PROGRAMLAMA', -0.002368172083659402]]
3354414520: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0001334291851906915], ['152117115 ADVANCED PROGRAMMING', -0.0002120363814592752], ['152118514 AĞ GÜVENLİĞİ', -0.0009999687408615984], ['152118035 NETWORK APPLICATIONS UE', -0.0018240787851612598], ['152117111 MOBİL PROGRAMLAMA', -0.002203350902262463]]
2613483297: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002138310855759424], ['152118513 SİSTEM PROGRAMLAMA', -0.00037307113132532935], ['152118514 AĞ GÜVENLİĞİ', -0.0008536817790770608], ['152118035 NETWORK APPLICATIONS UE', -0.0016637105030942719], ['152117111 MOBİL PROGRAMLAMA', -0.0023118585858892524]]
550782083: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00047987712371309047], ['152118513 SİSTEM PROGRAMLAMA', -0.0004912806225421216], ['152118514 AĞ GÜVENLİĞİ', -0.0009151385568639781], ['152118035 NETWORK APPLICATIONS UE', -0.0018112403139176297], ['152117111 MOBİL PROGRAMLAMA', -0.0022180922218842506]]
2952305678: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0002924697094140857], ['152117115 ADVANCED PROGRAMMING', -0.000371808777949262], ['152118514 AĞ GÜVENLİĞİ', -0.0007711583195000808], ['152118035 NETWORK APPLICATIONS UE', -0.0017974841526495154], ['152117111 MOBİL PROGRAMLAMA', -0.0021364311864243376]]
3494349660: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00030435899260973867], ['152118513 SİSTEM PROGRAMLAMA', -0.0006816921179611992], ['152118514 AĞ GÜVENLİĞİ', -0.0007847612430362172], ['152118035 NETWORK APPLICATIONS UE', -0.0015847118978152617], ['152117111 MOBİL PROGRAMLAMA', -0.002354891680009626]]
2145570006: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005773771916210362], ['152118514 AĞ GÜVENLİĞİ', -0.0009643111314855907], ['152118513 SİSTEM PROGRAMLAMA', -0.0014501809457805306], ['152118035 NETWORK APPLICATIONS UE', -0.0015118014671572405], ['152117111 MOBİL PROGRAMLAMA', -0.001995335456564324]]
173267116: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00026432254985047314], ['152117115 ADVANCED PROGRAMMING', -0.00030099915629600764], ['152118514 AĞ GÜVENLİĞİ', -0.0008178608758872677], ['152118035 NETWORK APPLICATIONS UE', -0.0016644214387055015], ['152117111 MOBİL PROGRAMLAMA', -0.0023853420491258197]]
153498029: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00022656218558611983], ['152117115 ADVANCED PROGRAMMING', -0.0002579992768251494], ['152118514 AĞ GÜVENLİĞİ', -0.0007010236079033722], ['152118035 NETWORK APPLICATIONS UE', -0.0014266469474618585], ['152117111 MOBİL PROGRAMLAMA', -0.0020445788992507026]]
1092791497: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003100043869380634], ['152118513 SİSTEM PROGRAMLAMA', -0.00039973462540531456], ['152118514 AĞ GÜVENLİĞİ', -0.000890650411138294], ['152118035 NETWORK APPLICATIONS UE', -0.0017596108351051107], ['152117111 MOBİL PROGRAMLAMA', -0.0021580522494859694]]
2182634830: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002549547456926831], ['152118514 AĞ GÜVENLİĞİ', -0.0006569369187017234], ['152118513 SİSTEM PROGRAMLAMA', -0.0007158343872660497], ['152118035 NETWORK APPLICATIONS UE', -0.0010979458608489816], ['152117111 MOBİL PROGRAMLAMA', -0.0015262949937467063]]
689502151: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00037685217615535414], ['152118513 SİSTEM PROGRAMLAMA', -0.0006453176536980923], ['152118514 AĞ GÜVENLİĞİ', -0.0008444854264462832], ['152118035 NETWORK APPLICATIONS UE', -0.0012809937836477919], ['152117111 MOBİL PROGRAMLAMA', -0.0015586145600845998]]
1524214498: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00014125440580208603], ['152118514 AĞ GÜVENLİĞİ', -0.0004710697876755005], ['152118513 SİSTEM PROGRAMLAMA', -0.0007940081850260754], ['152118035 NETWORK APPLICATIONS UE', -0.0010802325008719682], ['152117111 MOBİL PROGRAMLAMA', -0.001146300767834242]]
834991379: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00039318430015683004], ['152118514 AĞ GÜVENLİĞİ', -0.0008329997589608512], ['152118513 SİSTEM PROGRAMLAMA', -0.0010991107967277566], ['152118035 NETWORK APPLICATIONS UE', -0.001219143290879522], ['152117111 MOBİL PROGRAMLAMA', -0.0016494820115324736]]
1953289294: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005960169185561134], ['152118513 SİSTEM PROGRAMLAMA', -0.001136754491688083], ['152118514 AĞ GÜVENLİĞİ', -0.0012735544589079742], ['152118035 NETWORK APPLICATIONS UE', -0.0018524984389940466], ['152117111 MOBİL PROGRAMLAMA', -0.002183994242715878]]
4157077354: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004635978968995782], ['152118513 SİSTEM PROGRAMLAMA', -0.0008226193635523311], ['152118514 AĞ GÜVENLİĞİ', -0.0009529457379382335], ['152118035 NETWORK APPLICATIONS UE', -0.001759303639636008], ['152117111 MOBİL PROGRAMLAMA', -0.002353830573906935]]
316669719: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002846217666140909], ['152118513 SİSTEM PROGRAMLAMA', -0.0004727554518264578], ['152118514 AĞ GÜVENLİĞİ', -0.0008700104699612881], ['152117111 MOBİL PROGRAMLAMA', -0.0015474567465958687], ['152118035 NETWORK APPLICATIONS UE', -0.0019369515596334367]]
4246813520: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004764911721223876], ['152118513 SİSTEM PROGRAMLAMA', -0.0006653736603884243], ['152118514 AĞ GÜVENLİĞİ', -0.0009457473720070543], ['152118035 NETWORK APPLICATIONS UE', -0.001712405262924669], ['152117111 MOBİL PROGRAMLAMA', -0.0023935490177138096]]
1235998950: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003748501081260705], ['152118513 SİSTEM PROGRAMLAMA', -0.0004258188251646144], ['152118514 AĞ GÜVENLİĞİ', -0.0007745462508081793], ['152118035 NETWORK APPLICATIONS UE', -0.001661624853493148], ['152117111 MOBİL PROGRAMLAMA', -0.0023807458926516103]]
3724511308: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00018974784440939393], ['152118513 SİSTEM PROGRAMLAMA', -0.00038929762632357827], ['152118514 AĞ GÜVENLİĞİ', -0.0006357652898267149], ['152117111 MOBİL PROGRAMLAMA', -0.0012766687005226996], ['152118035 NETWORK APPLICATIONS UE', -0.0015077325647406775]]
4183542027: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00018974784440939393], ['152118513 SİSTEM PROGRAMLAMA', -0.00038929762632357827], ['152118514 AĞ GÜVENLİĞİ', -0.0006357652898267149], ['152117111 MOBİL PROGRAMLAMA', -0.0012766687005226996], ['152118035 NETWORK APPLICATIONS UE', -0.0015077325647406775]]
3719817359: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00026792646553670064], ['152118513 SİSTEM PROGRAMLAMA', -0.00037307113132532935], ['152118514 AĞ GÜVENLİĞİ', -0.0009428689948660147], ['152118035 NETWORK APPLICATIONS UE', -0.001725654878819223], ['152117111 MOBİL PROGRAMLAMA', -0.002311916811423505]]
2292485301: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0002924697094140857], ['152117115 ADVANCED PROGRAMMING', -0.00032143716400610296], ['152118514 AĞ GÜVENLİĞİ', -0.0008613674085171322], ['152118035 NETWORK APPLICATIONS UE', -0.0017199672992344868], ['152117111 MOBİL PROGRAMLAMA', -0.0023420032408521902]]
2311919418: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003748501081260705], ['152118513 SİSTEM PROGRAMLAMA', -0.0004258188251646144], ['152118514 AĞ GÜVENLİĞİ', -0.0007745462508081793], ['152118035 NETWORK APPLICATIONS UE', -0.001661624853493148], ['152117111 MOBİL PROGRAMLAMA', -0.0023807458926516103]]
3627731812: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000783418144112253], ['152118514 AĞ GÜVENLİĞİ', -0.0009970022161354833], ['152118513 SİSTEM PROGRAMLAMA', -0.0017019480186723933], ['152118035 NETWORK APPLICATIONS UE', -0.001768995449753036], ['152117111 MOBİL PROGRAMLAMA', -0.00238576420636507]]
1227222971: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00026432254985047314], ['152117115 ADVANCED PROGRAMMING', -0.00030099915629600764], ['152118514 AĞ GÜVENLİĞİ', -0.0008178608758872677], ['152118035 NETWORK APPLICATIONS UE', -0.0016644214387055015], ['152117111 MOBİL PROGRAMLAMA', -0.0023853420491258197]]
1179501345: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002579992768251494], ['152118513 SİSTEM PROGRAMLAMA', -0.00031977525542171086], ['152118514 AĞ GÜVENLİĞİ', -0.0008949194577668678], ['152118035 NETWORK APPLICATIONS UE', -0.001703639872015214], ['152117111 MOBİL PROGRAMLAMA', -0.002327794510369199]]
2592583809: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003765718920439417], ['152118513 SİSTEM PROGRAMLAMA', -0.0005512938878692918], ['152118514 AĞ GÜVENLİĞİ', -0.0007298733454511059], ['152117111 MOBİL PROGRAMLAMA', -0.001399092451850979], ['152118035 NETWORK APPLICATIONS UE', -0.0015393339563918812]]
