
p:3.0  t:0: 1080755853: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00023107255792493805], ['152118513 SİSTEM PROGRAMLAMA', -0.00047648907937088175], ['152118514 AĞ GÜVENLİĞİ', -0.0007860535107739826], ['152118035 NETWORK APPLICATIONS UE', -0.0017664565690275612], ['152117111 MOBİL PROGRAMLAMA', -0.0020792550964831664]]
p:3.5  t:1: 1080755853: [['152118035 NETWORK APPLICATIONS UE', 0.004839859602730549], ['152117111 MOBİL PROGRAMLAMA', 0.003861215184645573], ['152118514 AĞ GÜVENLİĞİ', 0.0022989589976239425], ['152118513 SİSTEM PROGRAMLAMA', 0.0009403817040085157], ['152118635 WEB BASED TECHNOLOGIES', 0.0006683340128429846], ['152117115 ADVANCED PROGRAMMING', 0.0004249323088678602], ['152118634 COMPUTER SECURITY', 0.00031224932507204254]]
p:3.0  t:1: 1080755853: [['152118035 NETWORK APPLICATIONS UE', 0.0055626072155050225], ['152117111 MOBİL PROGRAMLAMA', 0.004333283158587469], ['152118514 AĞ GÜVENLİĞİ', 0.004061871151498369], ['152118635 WEB BASED TECHNOLOGIES', 0.0011084189025244817], ['152118513 SİSTEM PROGRAMLAMA', 0.000735376098698086], ['152117115 ADVANCED PROGRAMMING', 2.984171330234415e-06], ['152118634 COMPUTER SECURITY', 0.0]]

p:3.5  t:0: 1489354015: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.5981257053633026e-06], ['152118514 AĞ GÜVENLİĞİ', -0.0003958933956280672], ['152118035 NETWORK APPLICATIONS UE', -0.0006522766656568495], ['152117111 MOBİL PROGRAMLAMA', -0.0009183045135827596]]
p:3.0  t:0: 1489354015: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002537642909600123], ['152118513 SİSTEM PROGRAMLAMA', -0.00045061624501125926], ['152118514 AĞ GÜVENLİĞİ', -0.0007147380403742442], ['152118035 NETWORK APPLICATIONS UE', -0.001709525146573811], ['152117111 MOBİL PROGRAMLAMA', -0.002359199557195673]]
p:3.5  t:1: 1489354015: [['152118035 NETWORK APPLICATIONS UE', 0.0046052083323542894], ['152117111 MOBİL PROGRAMLAMA', 0.003933523337901035], ['152118514 AĞ GÜVENLİĞİ', 0.0020085968545851753], ['152118634 COMPUTER SECURITY', 0.001438001025041487], ['152118635 WEB BASED TECHNOLOGIES', 0.0011390928451040785], ['152118513 SİSTEM PROGRAMLAMA', 0.0008541315306926771], ['152117115 ADVANCED PROGRAMMING', 0.00034273903723903786]]
p:3.0  t:1: 1489354015: [['152118035 NETWORK APPLICATIONS UE', 0.005980760954948921], ['152117111 MOBİL PROGRAMLAMA', 0.005392599498243109], ['152118514 AĞ GÜVENLİĞİ', 0.004077152679239087], ['152118634 COMPUTER SECURITY', 0.00337907171511369], ['152118635 WEB BASED TECHNOLOGIES', 0.0016462851432543502], ['152117115 ADVANCED PROGRAMMING', 0.00017540943369444102], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]

p:3.5  t:0: 1018607446: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000404101472590262], ['152118513 SİSTEM PROGRAMLAMA', -0.0007690827838095777], ['152118514 AĞ GÜVENLİĞİ', -0.0010147409033085938], ['152118035 NETWORK APPLICATIONS UE', -0.0013178097265391475], ['152117111 MOBİL PROGRAMLAMA', -0.0016446187406598312]]
p:3.0  t:0: 1018607446: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002960318361142555], ['152118513 SİSTEM PROGRAMLAMA', -0.0006674674899144794], ['152118514 AĞ GÜVENLİĞİ', -0.0006936499558889272], ['152118035 NETWORK APPLICATIONS UE', -0.0013421616220330602], ['152117111 MOBİL PROGRAMLAMA', -0.0018619487454911408]]
p:3.5  t:1: 1018607446: [['152118635 WEB BASED TECHNOLOGIES', 0.0040303972298203275], ['152117111 MOBİL PROGRAMLAMA', 0.003994184154815386], ['152118035 NETWORK APPLICATIONS UE', 0.002915062008169946], ['152118514 AĞ GÜVENLİĞİ', 0.0016397477381095474], ['152118634 COMPUTER SECURITY', 0.0013406310351895545], ['152118513 SİSTEM PROGRAMLAMA', 0.0012213598817183789], ['152117115 ADVANCED PROGRAMMING', 0.0005337004907591019]]
p:3.0  t:1: 1018607446: [['152118635 WEB BASED TECHNOLOGIES', 0.006285766774598955], ['152117111 MOBİL PROGRAMLAMA', 0.005772651675355983], ['152118035 NETWORK APPLICATIONS UE', 0.0037742902698979634], ['152118514 AĞ GÜVENLİĞİ', 0.0034902564289673046], ['152118634 COMPUTER SECURITY', 0.0030669251723248097], ['152118513 SİSTEM PROGRAMLAMA', 0.0016350790437795137], ['152117115 ADVANCED PROGRAMMING', 0.001080476124086299]]

p:3.5  t:0: 2746867626: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004306069689566134], ['152118513 SİSTEM PROGRAMLAMA', -0.0004965220254665821], ['152118514 AĞ GÜVENLİĞİ', -0.0010157185475505308], ['152118035 NETWORK APPLICATIONS UE', -0.0012957886543409985], ['152117111 MOBİL PROGRAMLAMA', -0.0016073104884786595]]
p:3.0  t:0: 2746867626: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000476062036168133], ['152118513 SİSTEM PROGRAMLAMA', -0.0006924336731514393], ['152118514 AĞ GÜVENLİĞİ', -0.0009223199711295178], ['152118035 NETWORK APPLICATIONS UE', -0.0017229075580936306], ['152117111 MOBİL PROGRAMLAMA', -0.0023486717251479535]]
p:3.5  t:1: 2746867626: [['152117111 MOBİL PROGRAMLAMA', 0.005002189766530792], ['152118035 NETWORK APPLICATIONS UE', 0.0038503545963323974], ['152118635 WEB BASED TECHNOLOGIES', 0.0031214600400723347], ['152118514 AĞ GÜVENLİĞİ', 0.002024602652512381], ['152118634 COMPUTER SECURITY', 0.0018985677787495224], ['152118513 SİSTEM PROGRAMLAMA', 0.0012759500293684897], ['152117115 ADVANCED PROGRAMMING', 0.0009950623503069457]]
p:3.0  t:1: 2746867626: [['152117111 MOBİL PROGRAMLAMA', 0.006904736325361867], ['152118035 NETWORK APPLICATIONS UE', 0.004936037924459962], ['152118635 WEB BASED TECHNOLOGIES', 0.004471422282035618], ['152118514 AĞ GÜVENLİĞİ', 0.004167833776031249], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.0015428854327146414], ['152118513 SİSTEM PROGRAMLAMA', 0.0010672795923774348]]

p:3.5  t:0: 123301703: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.3317714211360855e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152118514 AĞ GÜVENLİĞİ', -0.0004415455021972813], ['152117111 MOBİL PROGRAMLAMA', -0.0007652537613189663], ['152118035 NETWORK APPLICATIONS UE', -0.0008321802861734798]]
p:3.0  t:0: 123301703: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00034779621231775153], ['152118513 SİSTEM PROGRAMLAMA', -0.0006055372108335731], ['152118514 AĞ GÜVENLİĞİ', -0.000823965810429439], ['152118035 NETWORK APPLICATIONS UE', -0.0016972563036826824], ['152117111 MOBİL PROGRAMLAMA', -0.002321066365414185]]
p:3.5  t:1: 123301703: [['152118035 NETWORK APPLICATIONS UE', 0.004498968879177875], ['152117111 MOBİL PROGRAMLAMA', 0.004175025822218734], ['152118514 AĞ GÜVENLİĞİ', 0.002370566855949763], ['152118634 COMPUTER SECURITY', 0.0015118942859820236], ['152118513 SİSTEM PROGRAMLAMA', 0.001159883326225718], ['152118635 WEB BASED TECHNOLOGIES', 0.000949244037586732], ['152117115 ADVANCED PROGRAMMING', 0.0005560047432327013]]
p:3.0  t:1: 123301703: [['152118035 NETWORK APPLICATIONS UE', 0.0057683827007909095], ['152118514 AĞ GÜVENLİĞİ', 0.004770834275212916], ['152117111 MOBİL PROGRAMLAMA', 0.004522375025708351], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152118635 WEB BASED TECHNOLOGIES', 0.0013719042860452918], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152117115 ADVANCED PROGRAMMING', 0.00014617452807870086]]

