3286966388: [['152118035 NETWORK APPLICATIONS UE', 0.003912362530339784], ['152118514 AĞ GÜVENLİĞİ', 0.0036286802191251473], ['152117111 MOBİL PROGRAMLAMA', 0.0033245952540184092], ['152118634 COMPUTER SECURITY', 0.001689535857556845], ['152118635 WEB BASED TECHNOLOGIES', 0.0008231425716271751], ['152118513 SİSTEM PROGRAMLAMA', 0.00042201279905989663], ['152117115 ADVANCED PROGRAMMING', 8.770471684722051e-05]]
362191843: [['152117111 MOBİL PROGRAMLAMA', 0.006396743655173317], ['152118035 NETWORK APPLICATIONS UE', 0.005569149467220004], ['152118514 AĞ GÜVENLİĞİ', 0.004531477517841341], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152117115 ADVANCED PROGRAMMING', 0.0010678754255258529], ['152118513 SİSTEM PROGRAMLAMA', 0.0006932672589927193]]
3354414520: [['152118035 NETWORK APPLICATIONS UE', 0.0061342950481519404], ['152117111 MOBİL PROGRAMLAMA', 0.006125637863429614], ['152118514 AĞ GÜVENLİĞİ', 0.004608086025767748], ['152118635 WEB BASED TECHNOLOGIES', 0.0017812157359987425], ['152118634 COMPUTER SECURITY', 0.0014512367890443965], ['152117115 ADVANCED PROGRAMMING', 0.001080106752215447], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
2613483297: [['152117111 MOBİL PROGRAMLAMA', 0.006518574559647463], ['152118035 NETWORK APPLICATIONS UE', 0.005350961751145478], ['152118514 AĞ GÜVENLİĞİ', 0.0045845511888678485], ['152118635 WEB BASED TECHNOLOGIES', 0.0028562507327109105], ['152118634 COMPUTER SECURITY', 0.0016065291050577444], ['152117115 ADVANCED PROGRAMMING', 0.0007628669460915415], ['152118513 SİSTEM PROGRAMLAMA', 5.212285104657548e-05]]
550782083: [['152117111 MOBİL PROGRAMLAMA', 0.006110573370117225], ['152118035 NETWORK APPLICATIONS UE', 0.004468562011337571], ['152118514 AĞ GÜVENLİĞİ', 0.004186657166031247], ['152118635 WEB BASED TECHNOLOGIES', 0.0024690266748413226], ['152118634 COMPUTER SECURITY', 0.0022095976805363215], ['152118513 SİSTEM PROGRAMLAMA', 0.0011937664263329383], ['152117115 ADVANCED PROGRAMMING', 0.0011551226157100539]]
2952305678: [['152118035 NETWORK APPLICATIONS UE', 0.0050568023325438805], ['152118514 AĞ GÜVENLİĞİ', 0.0040972921356760795], ['152117111 MOBİL PROGRAMLAMA', 0.0040719490527944486], ['152118634 COMPUTER SECURITY', 0.0010365977064602833], ['152118513 SİSTEM PROGRAMLAMA', 0.0004380930705948985], ['152117115 ADVANCED PROGRAMMING', 0.00012529245263888643], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3494349660: [['152117111 MOBİL PROGRAMLAMA', 0.0072405128429791086], ['152118635 WEB BASED TECHNOLOGIES', 0.004920478918083616], ['152118035 NETWORK APPLICATIONS UE', 0.004538598296968501], ['152118514 AĞ GÜVENLİĞİ', 0.0038981107161125228], ['152118634 COMPUTER SECURITY', 0.0026145664403940563], ['152117115 ADVANCED PROGRAMMING', 0.001089275214795458], ['152118513 SİSTEM PROGRAMLAMA', 0.0010331689021848387]]
2145570006: [['152118635 WEB BASED TECHNOLOGIES', 0.007886605639199133], ['152117111 MOBİL PROGRAMLAMA', 0.006821590737854023], ['152118634 COMPUTER SECURITY', 0.005730709989063989], ['152118514 AĞ GÜVENLİĞİ', 0.0042037088445011925], ['152118035 NETWORK APPLICATIONS UE', 0.0037965298429776997], ['152118513 SİSTEM PROGRAMLAMA', 0.0030030077355536833], ['152117115 ADVANCED PROGRAMMING', 0.001955794298184169]]
173267116: [['152117111 MOBİL PROGRAMLAMA', 0.006709183193434211], ['152118035 NETWORK APPLICATIONS UE', 0.004914414762996191], ['152118514 AĞ GÜVENLİĞİ', 0.004103541057478416], ['152118635 WEB BASED TECHNOLOGIES', 0.0028562507327109105], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152117115 ADVANCED PROGRAMMING', 0.0009045652171748908], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
153498029: [['152117111 MOBİL PROGRAMLAMA', 0.005750728451515038], ['152118035 NETWORK APPLICATIONS UE', 0.0042123555111395925], ['152118514 AĞ GÜVENLİĞİ', 0.0035173209064100703], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
1092791497: [['152117111 MOBİL PROGRAMLAMA', 0.00607565833684384], ['152118035 NETWORK APPLICATIONS UE', 0.004525750548383437], ['152118514 AĞ GÜVENLİĞİ', 0.004123911639751221], ['152118634 COMPUTER SECURITY', 0.003194768628497547], ['152118635 WEB BASED TECHNOLOGIES', 0.003058447787983122], ['152117115 ADVANCED PROGRAMMING', 0.0010560323235120237], ['152118513 SİSTEM PROGRAMLAMA', 0.00046005611514692333]]
2182634830: [['152117111 MOBİL PROGRAMLAMA', 0.004573800917395113], ['152118514 AĞ GÜVENLİĞİ', 0.0035468651341692033], ['152118635 WEB BASED TECHNOLOGIES', 0.0028269819911981796], ['152118035 NETWORK APPLICATIONS UE', 0.0025354661486209885], ['152118634 COMPUTER SECURITY', 0.0018783854841217344], ['152118513 SİSTEM PROGRAMLAMA', 0.0011132362114080934], ['152117115 ADVANCED PROGRAMMING', 0.0007803720334310389]]
689502151: [['152118635 WEB BASED TECHNOLOGIES', 0.00548785081392336], ['152117111 MOBİL PROGRAMLAMA', 0.00502027638007746], ['152118514 AĞ GÜVENLİĞİ', 0.00393831849527036], ['152118035 NETWORK APPLICATIONS UE', 0.0031544924508161367], ['152118634 COMPUTER SECURITY', 0.003115364375555659], ['152118513 SİSTEM PROGRAMLAMA', 0.0016147255847468063], ['152117115 ADVANCED PROGRAMMING', 0.0014368221827208026]]
