2484291189: [['152117111 MOBİL PROGRAMLAMA', 0.00455795506913931], ['152118035 NETWORK APPLICATIONS UE', 0.003553157620430382], ['152118635 WEB BASED TECHNOLOGIES', 0.0030464267061868257], ['152118514 AĞ GÜVENLİĞİ', 0.0024763152546260084], ['152118513 SİSTEM PROGRAMLAMA', 0.0022328552950897787], ['152118634 COMPUTER SECURITY', 0.0020934474495481817], ['152117115 ADVANCED PROGRAMMING', 0.00110588155910314]]
3286966388: [['152118035 NETWORK APPLICATIONS UE', 0.0036076948104399264], ['152117111 MOBİL PROGRAMLAMA', 0.0029331467206052107], ['152118514 AĞ GÜVENLİĞİ', 0.001768798061334435], ['152118634 COMPUTER SECURITY', 0.0010000249050855818], ['152118513 SİSTEM PROGRAMLAMA', 0.0008478605693351281], ['152118635 WEB BASED TECHNOLOGIES', 0.0005695464225520392], ['152117115 ADVANCED PROGRAMMING', 0.0005100807434578397]]
362191843: [['152117111 MOBİL PROGRAMLAMA', 0.0046195677477784], ['152118035 NETWORK APPLICATIONS UE', 0.004243678062569352], ['152118514 AĞ GÜVENLİĞİ', 0.002355217954620939], ['152118634 COMPUTER SECURITY', 0.0018651884746349562], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118513 SİSTEM PROGRAMLAMA', 0.0011618574204917288], ['152117115 ADVANCED PROGRAMMING', 0.0006066127217402255]]
3354414520: [['152117111 MOBİL PROGRAMLAMA', 0.004534756893245307], ['152118035 NETWORK APPLICATIONS UE', 0.004359426923433822], ['152118514 AĞ GÜVENLİĞİ', 0.002566649304582538], ['152118635 WEB BASED TECHNOLOGIES', 0.0012676382615781647], ['152118634 COMPUTER SECURITY', 0.0012093894325689053], ['152117115 ADVANCED PROGRAMMING', 0.0003697890237306764], ['152118513 SİSTEM PROGRAMLAMA', 0.0002838446374317044]]
2613483297: [['152117111 MOBİL PROGRAMLAMA', 0.00468564776103926], ['152118035 NETWORK APPLICATIONS UE', 0.004187062806084989], ['152118514 AĞ GÜVENLİĞİ', 0.0022358400412010714], ['152118635 WEB BASED TECHNOLOGIES', 0.0020056092555685357], ['152118634 COMPUTER SECURITY', 0.0008906031794129937], ['152118513 SİSTEM PROGRAMLAMA', 0.0007259538872256404], ['152117115 ADVANCED PROGRAMMING', 0.00038325101975045136]]
550782083: [['152117111 MOBİL PROGRAMLAMA', 0.004429810183780708], ['152118035 NETWORK APPLICATIONS UE', 0.004389689206737366], ['152118514 AĞ GÜVENLİĞİ', 0.0022556040205205805], ['152118635 WEB BASED TECHNOLOGIES', 0.0016367814355832942], ['152118634 COMPUTER SECURITY', 0.0013967725125668394], ['152118513 SİSTEM PROGRAMLAMA', 0.0008884856267089331], ['152117115 ADVANCED PROGRAMMING', 0.0008074198252792379]]
2952305678: [['152118035 NETWORK APPLICATIONS UE', 0.004885109547932787], ['152117111 MOBİL PROGRAMLAMA', 0.0038419881913711903], ['152118514 AĞ GÜVENLİĞİ', 0.002208423831554705], ['152118634 COMPUTER SECURITY', 0.0009652729330621974], ['152117115 ADVANCED PROGRAMMING', 0.0006365654104262392], ['152118513 SİSTEM PROGRAMLAMA', 0.000586837927292778], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3494349660: [['152117111 MOBİL PROGRAMLAMA', 0.005092125323748976], ['152118035 NETWORK APPLICATIONS UE', 0.003569018116232235], ['152118635 WEB BASED TECHNOLOGIES', 0.0032507630401472703], ['152118514 AĞ GÜVENLİĞİ', 0.001823254116214462], ['152118513 SİSTEM PROGRAMLAMA', 0.0012565154033899132], ['152118634 COMPUTER SECURITY', 0.0011445199537693691], ['152117115 ADVANCED PROGRAMMING', 0.0005783204590165109]]
2145570006: [['152118635 WEB BASED TECHNOLOGIES', 0.005098570452829334], ['152117111 MOBİL PROGRAMLAMA', 0.004823885378588938], ['152118035 NETWORK APPLICATIONS UE', 0.0028054662088709877], ['152118513 SİSTEM PROGRAMLAMA', 0.002661477129677491], ['152118634 COMPUTER SECURITY', 0.0023616131344417228], ['152118514 AĞ GÜVENLİĞİ', 0.0019757323299330206], ['152117115 ADVANCED PROGRAMMING', 0.001215181389462076]]
173267116: [['152117111 MOBİL PROGRAMLAMA', 0.004760163684107223], ['152118035 NETWORK APPLICATIONS UE', 0.003910387437539728], ['152118635 WEB BASED TECHNOLOGIES', 0.0020056092555685357], ['152118514 AĞ GÜVENLİĞİ', 0.001983121483988119], ['152118634 COMPUTER SECURITY', 0.0015483809470441603], ['152117115 ADVANCED PROGRAMMING', 0.00048851220194594], ['152118513 SİSTEM PROGRAMLAMA', 0.00047523907771747717]]
153498029: [['152117111 MOBİL PROGRAMLAMA', 0.004080140300663333], ['152118035 NETWORK APPLICATIONS UE', 0.003351760660748338], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118514 AĞ GÜVENLİĞİ', 0.0016998184148469592], ['152118634 COMPUTER SECURITY', 0.0013271836688949945], ['152117115 ADVANCED PROGRAMMING', 0.0004187247445250914], ['152118513 SİSTEM PROGRAMLAMA', 0.0004073477809006947]]
1092791497: [['152117111 MOBİL PROGRAMLAMA', 0.004455743893980597], ['152118035 NETWORK APPLICATIONS UE', 0.004217200661616235], ['152118514 AĞ GÜVENLİĞİ', 0.002253081351020979], ['152118635 WEB BASED TECHNOLOGIES', 0.0020925418956805036], ['152118634 COMPUTER SECURITY', 0.0014947882852715732], ['152118513 SİSTEM PROGRAMLAMA', 0.0007324076457325901], ['152117115 ADVANCED PROGRAMMING', 0.000559479766682293]]
2182634830: [['152117111 MOBİL PROGRAMLAMA', 0.0035091315797350065], ['152118035 NETWORK APPLICATIONS UE', 0.0024300083017770257], ['152118635 WEB BASED TECHNOLOGIES', 0.0017886874892570574], ['152118514 AĞ GÜVENLİĞİ', 0.001718646991715891], ['152118513 SİSTEM PROGRAMLAMA', 0.0013385727507122457], ['152118634 COMPUTER SECURITY', 0.0008827824731504645], ['152117115 ADVANCED PROGRAMMING', 0.0005709849397874238]]
689502151: [['152117111 MOBİL PROGRAMLAMA', 0.0038402453926373735], ['152118635 WEB BASED TECHNOLOGIES', 0.003552729281293874], ['152118035 NETWORK APPLICATIONS UE', 0.0026909971341655065], ['152118514 AĞ GÜVENLİĞİ', 0.002190917282401308], ['152118634 COMPUTER SECURITY', 0.0012764918561231117], ['152118513 SİSTEM PROGRAMLAMA', 0.001185163495678386], ['152117115 ADVANCED PROGRAMMING', 0.000808161937298931]]
1524214498: [['152117111 MOBİL PROGRAMLAMA', 0.002952034203740307], ['152118635 WEB BASED TECHNOLOGIES', 0.0026984329439036815], ['152118035 NETWORK APPLICATIONS UE', 0.002046409533557303], ['152118513 SİSTEM PROGRAMLAMA', 0.0014189699129342527], ['152118514 AĞ GÜVENLİĞİ', 0.0012921928754572487], ['152118634 COMPUTER SECURITY', 0.0004446700999846038], ['152117115 ADVANCED PROGRAMMING', 0.00029145618243547796]]
834991379: [['152118635 WEB BASED TECHNOLOGIES', 0.004264839641476567], ['152117111 MOBİL PROGRAMLAMA', 0.004249520837487851], ['152118035 NETWORK APPLICATIONS UE', 0.0023789491501071225], ['152118514 AĞ GÜVENLİĞİ', 0.002177039168960463], ['152118513 SİSTEM PROGRAMLAMA', 0.002090798447202995], ['152118634 COMPUTER SECURITY', 0.0017976228600764933], ['152117115 ADVANCED PROGRAMMING', 0.0008668284902277404]]
1953289294: [['152117111 MOBİL PROGRAMLAMA', 0.004789525170908358], ['152118035 NETWORK APPLICATIONS UE', 0.004128083323877809], ['152118635 WEB BASED TECHNOLOGIES', 0.0036347616601909273], ['152118514 AĞ GÜVENLİĞİ', 0.0030891113689114446], ['152118634 COMPUTER SECURITY', 0.002449529145237543], ['152118513 SİSTEM PROGRAMLAMA', 0.002126040596286922], ['152117115 ADVANCED PROGRAMMING', 0.001213521080909352]]
4157077354: [['152118035 NETWORK APPLICATIONS UE', 0.004643450661558282], ['152117111 MOBİL PROGRAMLAMA', 0.004134943210474316], ['152118514 AĞ GÜVENLİĞİ', 0.0027302401464618055], ['152118634 COMPUTER SECURITY', 0.0018339141937245538], ['152118513 SİSTEM PROGRAMLAMA', 0.0015459491781904323], ['152118635 WEB BASED TECHNOLOGIES', 0.0008136377465029132], ['152117115 ADVANCED PROGRAMMING', 0.0006936023532474729]]
316669719: [['152118035 NETWORK APPLICATIONS UE', 0.005113015505435904], ['152117111 MOBİL PROGRAMLAMA', 0.003081624077294619], ['152118514 AĞ GÜVENLİĞİ', 0.002516851805475643], ['152118513 SİSTEM PROGRAMLAMA', 0.000937861871174403], ['152117115 ADVANCED PROGRAMMING', 0.0005645187080638678], ['152118634 COMPUTER SECURITY', 0.00046837398760806375], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
4246813520: [['152117111 MOBİL PROGRAMLAMA', 0.004755488596875578], ['152118035 NETWORK APPLICATIONS UE', 0.00402748701397316], ['152118514 AĞ GÜVENLİĞİ', 0.0023493013386360144], ['152118635 WEB BASED TECHNOLOGIES', 0.0020925418956805036], ['152118634 COMPUTER SECURITY', 0.0019655424902940396], ['152118513 SİSTEM PROGRAMLAMA', 0.0012152006819799296], ['152117115 ADVANCED PROGRAMMING', 0.0007748747899530763]]
1235998950: [['152117111 MOBİL PROGRAMLAMA', 0.004883249820986604], ['152118035 NETWORK APPLICATIONS UE', 0.0038329723449762074], ['152118514 AĞ GÜVENLİĞİ', 0.0018567800125720898], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0015959494675642386], ['152118513 SİSTEM PROGRAMLAMA', 0.0007792873000436185], ['152117115 ADVANCED PROGRAMMING', 0.0006504866406966656]]
